word	TextCount	TextLength
abh?sath?	8	9
abh?sati	1	8
?bh?sati	1	8
abh?sat?ti	1	10
abh?sayi	2	8
abh?si	380	6
abh?s?	1	6
?bh?si	1	6
abh?si?	14	7
abh?si?su	7	9
abh?sin	1	7
abhasir?	1	8
abh?sisa?	4	9
abh?sissa	2	9
abh?sissa?	4	10
abh?sisu?	1	9
abh?sitabbav?ca?	1	16
abh?sita?	26	9
abh?sit?na?	2	11
abh?sitapubba?	1	14
abh?siti	1	8
abh?s?ti	8	8
?bh?s?ti	1	8
abh?sit?ti	1	10
abhasitth?	1	10
abh?sittha	9	10
abh?sitth?	110	10
abh?sitthati	1	12
abh?sitth?ti	30	12
abh?sitv?	3	9
abh?siya	4	8
abh?siya?	2	9
abhassara	1	9
?bhassara	5	9
?BHASSAR?	1	9
?bhassar?	13	9
?bhassar?	2	9
?bhassarabrahmaloke	1	19
?bhassarabrahmalok?pago	1	23
?bhassarak?y?	3	13
Abhassarako	1	11
abhassar?na?	1	12
?bhassar?na?	8	12
?bhassarato	4	11
?bhassarattena	1	14
?bhassaravasava	1	15
?bhassaravattanik?	1	18
?bhassare	7	9
?bhassaresu	3	11
abhassar?	1	9
?bhassar?pabra	1	14
?bhassarupago	2	13
?bhassar?pago	1	13
?bhassar?pago	3	13
abhassatha	2	10
abh?su?	1	7
?bhata	2	6
?bhat?	13	6
?bhatabh?jan?ni	1	15
?bhat?bhata?	1	12
?bha??bha?a?	2	12
?bhat?bhatama?sakh?dako	1	23
?bhatam	1	7
?bhata?	26	7
?bha?a?	1	7
?bhatama?sa?	1	12
?bhatam?laphal?ni	1	17
?bhatan	7	7
?bhat?ni	4	8
?bhat?n?ti	1	10
?bhatapa???k?ra?	1	16
?bhataphal?phal?n	1	17
?bhatar?pa?	1	11
?bhatassa	1	9
?bhataudaka?	1	12
?bhatavatth?n	1	13
?bhatavatthayuga?	1	17
?bhate	2	6
?bhatena	2	8
?bh?ti	4	6
?bhato	3	6
abhattaka?	1	10
abhatta?ka	1	10
abhattha?	1	9
abha??hama	1	10
abhatth?nabh?t?	1	15
abh?va	2	6
abh?v?	12	6
abh?vadhamma?	1	13
?BH?VAGGA	1	9
abh?vak?lato	1	12
abh?va?	4	7
abh?va?gat?	1	11
abh?van	1	7
abh?van?	6	8
abh?van?yo	22	10
abh?vassa	1	9
abh?vat?ya	1	10
abh?vato	4	8
abh?va??hena	2	12
abh?vayato	2	10
abh?vayissa	1	11
Abhave	1	6
abhave	3	6
?bhave	1	6
Abhaven	1	7
abh?ven	1	7
abhaven?	1	8
abh?vena	20	8
abh?vesi	1	8
?bhavesi	1	8
abh?veti	1	8
abh?vetv?	3	9
?bh?vetv?	1	9
abhavihacca	1	11
abhavi?su	25	9
abh?vino	2	8
abhavissa	137	9
abhaviss?	1	9
abh?vissa	1	9
abhavissa?	1	10
abhavissa?su	4	12
abhavissan	1	10
abhavissatha	1	12
abhavissati	1	11
abhaviss?ti	14	11
Abh?vit?	6	8
abh?vit?	37	8
abh?vitacitt?	18	13
abh?vitacitto	3	13
abh?vit?citto	1	13
abh?vitak?y?	18	12
abh?vitak?yo	7	12
abh?vita?	26	9
Abh?vit?ni	2	10
abh?vit?ni	10	10
abh?vitapaññ?	18	13
abh?vitapañño	1	13
abh?vitas?l?	17	12
abh?vitas?lo	1	12
Abh?vitatt?	2	11
abh?vitatt?	30	11
Abh?vito	2	8
abh?vito	11	8
abhavo	1	6
abh?vo	1	6
abh?vuppatti?	1	13
Abhaya	9	6
abhaya	1	6
abhay?	8	6
?bh?ya	26	6
?bh?y?bhibhavissati	1	19
abhayabh?rut?ya	1	15
abhayadakkhi?a?	3	15
abhayad?na?	1	11
abhayad?nappak?sana?	1	20
abhayadassino	1	13
abhayagatassa	1	13
abhayagato	3	10
abhayaGDhp	1	10
abhayaladdhak?	1	14
abhayam	1	7
Abhaya?	10	7
abhaya?	50	7
Abhayam?t?	1	10
Abhaya?karam	1	12
Abhayan	1	7
abhayan	4	7
abhayañ	2	7
abhayanakasatto	1	15
abhay?ni	1	8
abh?yant?	1	9
abh?yantassa	1	12
abh?yanto	2	9
abhayapada?	1	11
abhayappatta?	1	13
abhayappattassa	1	15
Abhayappatto	1	12
abhayappatto	13	12
ABHAYAR?JAKUM?RASUTTA?	2	22
ABHAYAR?JAKUM?RASUTTANTA?	1	25
abhayasama?asaccena	1	19
Abhayassa	9	9
abhayassa	5	9
abhaya?h?nappak?sanattha?	1	25
?bh?y?tibhavissati	1	18
abhayato	1	8
abhaya??h?nabh?t?	1	17
abhayatth?ya	1	12
Abhayatther?	1	12
abhayav?do	1	10
Abhaye	1	6
abhaye	5	6
Abhayena	2	8
?bhayena	1	8
abh?yitv?	1	9
Abhayo	26	6
abhayo	3	6
Abhay?parato	1	12
abhay?parato	5	12
abhay?var?	4	10
abhay?varabh??av?ra?	1	20
abhe	1	4
abhedanamukh?ni	2	15
abhedi	3	6
Abhejja	2	7
abhejj?	2	7
abhejjacitt?na?	1	15
abhejjacitt?ni	1	14
abhejja?	2	8
abhejjamantassa	1	15
abhejjanaka?	1	12
abhejjapariso	4	13
abhejjar?pa	2	11
abhejjar?pa?	2	12
abhejjar?pehi	1	13
abhejjasah?yo	1	13
abhejjasam?dhi	1	14
abhejjavaras?ramah?yodh?	1	24
abhejje	2	7
abhejjo	5	7
?bhenti	4	7
?bhent?ti	1	9
abhesajja?	3	10
abhesajje	1	9
abhesajjo	1	9
abhi	73	4
abh?	2	4
?bhi	25	4
abhibha	1	7
abhibhakkhayitv?	1	16
ABHIBHAMMABH?JANIYA?	1	20
abhibhandana	1	12
abhibhantapariv?ra?	1	19
abhibh?sana?	2	12
abhibh?santi	2	12
abhibh?sasi	6	11
abhibh?sati	2	11
abhibh?s?ti	1	11
Abhibhattena	1	12
abhibhavan?	2	11
abhibh?van?bhiniveso	1	20
abhibhavanti	7	12
abhibhava?ti	1	12
abhibhavanto	4	12
abhibhavasi	2	11
abhibhavasmi	1	12
abhibhavati	5	11
abhibhavat?ti	1	13
abhibhaveyya	7	12
abhibhavi	2	9
abhibhavik?	1	11
abhibhavi?	1	10
abhibhavissati	1	14
abhibhavit?	4	11
abhibh?vit?	1	11
abhibhavitabb?	1	14
abhibhavitu?	5	12
abhibhavitv?	24	12
abhibhayant	1	11
abhibhayatana?	1	14
abhibh?yatana?	41	14
abhibh?yatan?na?	7	16
abhibh?yatan?ni	12	15
abhibh?yatan?n?	1	15
abhibh?yatan?n?ti	1	17
ABHIBH?YATANAS	1	14
abhibh?yatanavimokkhakasi?ena	1	29
abhibhayi?su	1	12
abhibho	2	7
abhibhomi	1	9
abhibhosi	1	9
abhibhosmi	1	10
abhibhoti	1	9
abhibhotv?na	1	12
Abhibh?	21	7
abhibh?	26	7
abhibhucca	1	10
Abhibhum	2	8
Abhibhu?	9	8
abhibhu?	1	8
abhibh?na	1	9
abhibh?n?	1	9
Abhibhusmi?	1	11
Abhibhussa	7	10
abhibh?t?	12	9
?bhibh?t?	1	9
abhibh?tadhamm?	1	15
abhibh?tagandh?	1	15
Abhibh?tam	2	10
abhibh?tam	7	10
abhibh?ta?	3	10
abhibh?tan	1	10
abhibh?tapha??habb?	1	19
abhibh?taras?	1	13
abhibh?tar?p?	1	13
abhibh?tasaddh?	1	15
abhibh?tassa	10	12
Abhibh?tathero	1	14
abhibh?tatt?	1	12
abhibh?tena	3	11
Abhibhutim	1	10
Abhibh?to	4	9
abhibh?to	75	9
abhibh?ya	1	9
abhibhuyha	1	10
abhibhuyhac?ri	1	14
Abhibhuyya	3	10
abhibhuyya	215	10
Abhibh?yya	1	10
abhibh?yya	3	10
abhibhuyyac?ri	1	14
abhibhuyyac?r?	3	14
abhibhuyyati	1	12
abhibhuyyat?ti	32	14
abhibhuyyitv?	4	13
abhibujh?nakasadda?	1	19
abhic	1	5
abhic?ra?	1	9
abhicetasi	1	10
abhicetasik?na?	47	15
?bhicetasik?na?	18	15
abhicetasik?n?na?	1	17
?bhicetasiko	4	12
abhiciñcakkh?	1	13
abhida	3	6
abhid?	1	6
abhidakkh	1	9
abhidakkhi?a?	4	13
abhid?s	1	7
